station,location,state,do,ph,co,bod,na,tc,year,npH,ndo,nco,nbdo,nec,nna,wph,wdo,wbdo,wec,wna,wco,wqi
2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA,7.1,7.4,5300,38,1,667,2013,100,100,40,60,0,100,16.5,28.1,14.04,0,2.8,11.24,72.68
2686,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",MAHARASHTRA,7.2,7.6,127,3.2,1,51,2013,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
2687,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA,7,7.6,126,3.3,1,63,2013,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
2688,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",MAHARASHTRA,7.2,7.6,126,3.4,1.89,64,2013,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
2689,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA,7.1,7.8,112,3.2,0.63,88,2013,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
2199,SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,6.8,7.7,9590,3.6,4.57,124,2013,100,100,60,80,0,100,16.5,28.1,18.72,0,2.8,16.86,82.98
2701,"SAVITRI RIVER JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,6.8,7.4,174,3.7,2.26,124,2013,100,100,60,80,60,100,16.5,28.1,18.72,0.54,2.8,16.86,83.52
2702,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",MAHARASHTRA,6.8,7.6,2572,3.3,4.22,118,2013,100,100,60,80,0,100,16.5,28.1,18.72,0,2.8,16.86,82.98
2703,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA,6.7,7.8,6030,4.4,4.78,138,2013,100,100,60,80,0,100,16.5,28.1,18.72,0,2.8,16.86,82.98
2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,6.8,7.7,7207,3.9,4.25,120,2013,100,100,60,80,0,100,16.5,28.1,18.72,0,2.8,16.86,82.98
2706,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,6.8,8.1,167,3.8,1,85,2013,100,100,60,80,60,100,16.5,28.1,18.72,0.54,2.8,16.86,83.52
2707,"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",MAHARASHTRA,6.8,8,173,3.5,1,98,2013,100,100,60,80,60,100,16.5,28.1,18.72,0.54,2.8,16.86,83.52
2708,"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,7,8,168,3.6,1,83,2013,100,100,60,80,60,100,16.5,28.1,18.72,0.54,2.8,16.86,83.52
2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,6.9,7.9,131,3.5,0.75,96,2013,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
1094,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",MAHARASHTRA,7,7.6,125,3.5,0.6,63,2013,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
2162,ULHAS RIVER ATJAMBHUL WATER WORKS.,MAHARASHTRA,7.2,7.5,132,3.3,0.9,88,2013,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
2712,"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA,7.2,7.7,119,3.3,1,68,2013,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
2164,VASHISTI RIVER AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,6.9,7.5,159,2.8,1,82,2013,100,100,60,100,60,100,16.5,28.1,23.4,0.54,2.8,16.86,88.2
2713,"VASHISHTI RIVER AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL, KHERDI, RATNAGIRI",MAHARASHTRA,6.7,7.7,141,3.3,3,90,2013,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
