location,state,do,ph,co,bod,na,tc,year,wqi
R BHARATHAPUZHA AT PATTAMBI,KERALA,6.6,7.7,191,1.6,0.2,661,2014,82.58
"CHALAKUDY AT PULICKALKANANDAVU, KERALA",KERALA,6.9,6.9,134,1.1,0.4,531,2014,79.46
"CHALIYAR AT KOOLIMADU, KERALA",KERALA,7,7.5,80,0.8,0.4,3583,2014,82.76
"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA,6.7,7.4,14526,0.8,0.6,1969,2014,82.04
"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,7.2,7.4,82,0.7,0.5,1311,2014,82.76
"CHANDRAGIRI AT PADIYATHADKA, KERALA",KERALA,7.5,7.2,67,1.1,0.1,590,2014,82.94
"CHITRAPUZHA AT IRUMPANAM, KERALA",KERALA,3,6.6,965,1.7,1.2,530,2014,55.28
R CORAPUZHA AT KANAYANKODE,KERALA,5.9,7.4,17990,0.7,0.5,2803,2014,76.42
"R ITHIKKARA AT AYUR, KERALA",KERALA,6.7,7.5,90,1.6,0.9,473,2014,88.38
R ITHIKKARA AT ITHIKKARA,KERALA,6.1,7.4,4429,2,1.6,550,2014,82.04
"R KADALUNDI AT THIRURANGADY, KERALA",KERALA,6.7,6.9,87,1.7,0.2,350,2014,85.08
R KADALUNDI AT HAJIRAPPALLY,KERALA,6.9,6.8,85,1.6,0.2,206,2014,85.08
R KADAMBAYAR AT BRAHMAPURAM,KERALA,2.1,6.8,101,1.6,0.8,694,2014,51.36
R KADAMBAYAR AT MANCKAKADAVU,KERALA,2.5,6.9,83,1.9,0.3,656,2014,51.36
"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,7.2,7.6,75,1.4,1,426,2014,88.56
R KALLAI AT KALLAI BRIDGE,KERALA,3.7,7.7,32005,1.2,0.9,60392,2014,53.94
"KALPATHI PUZHA AT KALPATHI, PALAKKAD",KERALA,6.1,7.6,281,1.2,0.7,718,2014,82.4
KARAPUZHA DAM AT WAYANAD,KERALA,6.7,7.6,106,0.5,2.5,71,2014,88.38
"R KARINGODE AT KAKKADAVU,  KERALA",KERALA,7.6,7.1,58,1.2,0.1,961,2014,82.94
"KARAMANA AT MOONNATTUMUKKU, KERALA",KERALA,1.9,7.7,2941,26.9,2.8,37375,2014,33.34
"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM",KERALA,7.4,7,35,0.1,0,409,2014,88.56
R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,6.4,7.2,63,1.3,0.4,535,2014,82.94
R KAVVAI AT KUTTIYOL PALAM,KERALA,5.4,6.7,65,1.1,0.3,144,2014,76.34
R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,5.6,7.3,90,1.6,0.4,705,2014,77.14
R KORAYAR AT KANJIKODE,KERALA,7.1,8,728,1.2,0.4,697,2014,82.04
"R KUPPAM AT THALIPARAMBA, KERALA",KERALA,5.9,6.8,13953,1.5,0.4,166,2014,78.74
R KUPPAM AT RAYAROM,KERALA,7.4,6.9,57,1.1,0.3,159,2014,85.26
"R KUTTIYADE AT KUTTIYADY ESTATE, KERALA",KERALA,7.2,7.2,41,0.7,0.2,658,2014,82.94
"R MAHE AT VALAYAM, KERALA",KERALA,6.5,7.4,71,0.6,0.3,7018,2014,82.94
R MAMOM AT MAMOM BRIDGE,KERALA,6.8,7.1,81,0.8,0,1268,2014,82.76
"MANIMALA  AT KALLOOPARA, KERALA",KERALA,6.8,6.9,68,1.7,0.1,660,2014,79.64
"MANIMALA AT THONDRA, KERALA",KERALA,6.6,7,70,1.4,0.1,822,2014,82.94
"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",KERALA,6.4,7.7,100,0.6,0.9,88,2014,88.38
R MANJESWAR AT BAJRAKKARA BR.,KERALA,7.3,6.9,96,1.9,0.2,825,2014,79.46
"MEENACHIL AT KIDANGOOR, KERALA",KERALA,6.8,6.6,49,0.5,0.4,2950,2014,73.04
R MOGRAL AT MOGRAL BR.,KERALA,5.6,7.2,24360,2.1,0.3,447,2014,82.04
"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,6.9,6.8,59,0.6,0.5,3375,2014,79.64
R NEELASWARAM AT NAMBIARKAL DAM,KERALA,7.1,6.8,14410,1.8,0.1,468,2014,84.36
"R NEELESWARAM AT HOSDURG, KERALA",KERALA,6.2,7.2,22757,1.5,0.1,542,2014,82.04
"R NEYYAR AT AMARAVILA, KERALA",KERALA,6.7,7.1,66,0.6,0,626,2014,82.94
R NEYYAR AT ARUVIPURAM,KERALA,7.2,7,59,0.6,0,433,2014,88.56
R PALLICKAL AT NELLIMUKAL,KERALA,6,7.6,120,1.3,1.1,523,2014,82.76
"PAMBA AT CHENGANNUR, KERALA",KERALA,5.2,6.8,55,0.6,0.7,313,2014,79.64
"PAMBA AT THAKAZHY, KERALA",KERALA,4.8,6.8,86,0.7,0.8,332,2014,73.84
"PAMBA DOWN, KERALA",KERALA,3.9,6.9,62,0.5,0.7,284,2014,68.4
"PERIYAR NEAR ALWAYENANELOOR, KERALA",KERALA,5,6.9,3185,1.8,0.4,667,2014,67.5
"PERIYAR AT KALADY, KERALA",KERALA,7,7,36,1.1,0.2,541,2014,82.94
"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,6.3,6.9,64,1.2,0.3,815,2014,79.64
RIVER PERIYAR AT MUPPATHADAM,KERALA,6.2,6.9,86,1.3,0.2,1007,2014,79.46
RIVER PERIYAR AT PATHALAM,KERALA,5.7,6.8,2640,1.9,0.5,759,2014,73.12
R PERIYAR AT KALAMASSERY,KERALA,5.7,6.9,53,3.1,0.4,1205,2014,69.34
R PERIYAR AT PURAPPALLIKAVU,KERALA,6.6,7.1,2007,1.3,0.2,785,2014,82.04
"PERIYAR AT KWA INTAKENAN ALUVA, ERNAKULAM",KERALA,6.6,7,46,1.3,0.3,472,2014,88.56
R PERUVAMBA AT CHANDAPPURA,KERALA,6.5,6.5,43,0.9,0.4,188,2014,78.66
R PULLUR AT PULLUR BR.,KERALA,6.7,6.3,54,0.9,0.1,610,2014,66.44
R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,4.3,7.2,113,1.8,0.4,796,2014,71.52
R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,4.6,6.7,12561,1.5,0.6,171,2014,69.82
R SHRIYA AT ANGADIMOGARU,KERALA,7.7,6.9,61,1.6,0,554,2014,79.64
R THALLASSERY AT PATHIPPALAM,KERALA,5.8,6.5,61,1,0.4,151,2014,73.04
R THIRUR AT THALAKKADATHUR BRIDGE,KERALA,4.5,6.9,1614,2.1,0.6,230,2014,73.12
R UPPALA AT  UPPALA BR.,KERALA,6.9,7.2,20950,1.3,0.2,643,2014,82.04
"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,6.6,7,14487,0.9,0.3,103,2014,87.66
"VAMANAPURAM, KERALA",KERALA,6.9,7.5,54,0.6,0,1633,2014,82.94
"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",ANDHRA PRADESH,5.5,7.6,569,1.3,0.9,141,2014,82.04
"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,5.4,7.8,310,0.8,2.4,107,2014,82.04
"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,7.1,7.8,516,0.7,0.5,1238,2014,82.04
"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,6.9,8,505,0.9,0.7,1563,2014,82.04
"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,7.3,7.3,109,2.4,3.4,65,2014,88.38
"KALI AT U/S OF WCPM, DANDELI, KARNATAKA",KARNATAKA,7.5,7.5,83,2.1,2,74,2014,88.38
KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,KARNATAKA,6.4,7.2,102,1,0,1223,2014,82.76
NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,6.5,7.1,92,1,0,1342,2014,82.76
"BUDHABALANGA, D/S OF BARIPADA TOWN",ODISHA,7.7,7.9,232,1.3,0.8,40500,2014,71.16
BUDHABALANGA AT BALASORE D/S,ODISHA,7.5,7.8,519,2.1,0.7,53556,2014,70.8
"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",ODISHA,7.3,7.2,103,0.7,1.7,13810,2014,71.52
"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",ODISHA,7.4,7.9,196,0.7,0.6,15213,2014,71.34
"NAGAVALLI AT JAYKAYPUR D/S, ODISHA",ODISHA,7.4,7.8,244,1.9,1,12473,2014,71.16
"NAGAVALLI AT RAYAGADA D/S, ODISHA",ODISHA,7.5,8,243,1.7,0.9,30319,2014,71.16
"RUSHIKULYA AT GANJAM U/S, ODISHA",ODISHA,7.2,8,296,1.5,0.7,4314,2014,82.4
"RUSHIKULYA AT GANJAM D/S, ODISHA",ODISHA,6.6,7.8,25034,1.5,0.9,4224,2014,82.04
VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),ODISHA,7.5,7.9,194,1,1,8559,2014,82.58
VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),ODISHA,7.4,7.9,170,0.8,0.9,16709,2014,71.34
"ARASALAR RIVER KARAIKAL REGION, PONDICHERRY",PONDICHERRY,,7.3,386,,0.2,,2014,19.3
CORINGA RIVER,PONDICHERRY,5.9,7.9,21600,,0.1,,2014,41.78
GAUTAMINANGODAVARI RIVER,PONDICHERRY,6.5,7.3,21600,,0.1,,2014,47.4
GAUTAMINANGODAVARI RIVER,PONDICHERRY,6.5,7.7,26600,,0.1,,2014,47.4
MAHE RIVER,PONDICHERRY,6,7.1,13000,,0.4,,2014,47.4
"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMILNADU",TAMILNADU,6.5,7.4,1063,2,0.6,374,2014,87.66
"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,TAMILNADU",TAMILNADU,6.8,6.6,63,2.9,0.1,36,2014,84.28
"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY,TAMILNADU",TAMILNADU,6.6,6.4,101,2.5,0.2,41,2014,77.5
"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE,TAMILNADU.",TAMILNADU,6.6,6.5,136,2.5,0.2,45,2014,84.1
"TAMBIRAPARANI AT MURAPPANADU, TAMILNADU",TAMILNADU,6.7,6.9,226,2.2,0.2,38,2014,90.34
"TAMBIRAPARANI AT PAPPANKULAM,TAMILNADU",TAMILNADU,6.7,6.3,72,2.7,0.2,32,2014,77.68
"TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM, TAMILNADU",TAMILNADU,6.7,6.4,61,4.6,0.1,34,2014,73
"TAMBIRAPARANI AT ARUMUGANERI, TAMILNADU",TAMILNADU,6.6,7.2,1300,2.7,0.2,60,2014,87.66
"TAMBIRAPARANI AT ERAL, THOTHUKUDI, TAMILNADU",TAMILNADU,6.7,7,461,2.5,0.1,51,2014,87.66
"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI, TAMILNADU",TAMILNADU,6.6,6.2,69,2.5,0.1,38,2014,77.68
"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI, TAMILNADU",TAMILNADU,6.8,6.9,241,2.5,0.1,48,2014,90.34
"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI, TAMILNADU",TAMILNADU,6.5,6.6,159,2.4,0.2,41,2014,83.92
"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI, TAMILNADU",TAMILNADU,6.6,6.7,170,2.5,0.2,34,2014,87.22
"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT, TAMILNADU",TAMILNADU,0.9,7.6,2039,104.5,0.9,511090873,2014,28.66
RIVER GHAGGAR AT D/S OF SURAJPUR,HARYANA,,,,,,,2014,0
"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",PUNJAB,5.8,7.2,640,6,4.3,4073,2014,71.74
"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",PUNJAB,4.8,7.6,1090,22,3.6,52500,2014,50.2
"GHAGGAR NEAR BANKARPUR,DERA BASSI,PUNJAB",PUNJAB,5.5,7.3,705,10,5,5433,2014,67.06
"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.), PUNJAB",PUNJAB,5.1,7.4,1375,23.7,5.9,50333,2014,55.82
"D/S CHHATBIR, PUNJAB",PUNJAB,5.5,7.4,745,10,6.1,29333,2014,55.82
"U/S DHAKANSU NALLAH, PUNJAB",PUNJAB,5,7.6,975,16.3,6.1,21667,2014,50.2
