location,state,do,ph,co,bod,na,tc,year,wqi
"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT, TAMILNADU",TAMILNADU,3.4,7.8,2577,164.9,1.5,160405392,2013,30.54
NAN,NAN,,,,,,,2013,0
"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",PUNJAB,5.5,7.2,636,9.7,4,4975,2013,67.06
"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",PUNJAB,4.7,7.3,1088,23.8,4,56000,2013,50.2
"GHAGGAR NEAR BANKARPUR,DERA BASSI,PUNJAB",PUNJAB,5.3,7.2,689,11.3,4,6025,2013,67.06
"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.), PUNJAB",PUNJAB,4.9,7.3,1267,23.5,3,54250,2013,50.2
"D/S CHHATBIR, PUNJAB",PUNJAB,5.3,7.4,852,13,4,26750,2013,55.82
"U/S DHAKANSU NALLAH, PUNJAB",PUNJAB,4.9,7.5,977,16.5,5,30500,2013,50.2
"D/S DHAKANSU NALLAH, PUNJAB",PUNJAB,4.4,7.4,1256,24.8,6,55250,2013,50.2
"D/S JHARMAL NADI, PUNJAB",PUNJAB,4.8,7.2,1021,20.3,4,43700,2013,50.2
"U/S JHARMAL NADI, PUNJAB",PUNJAB,5.1,7.3,971,14.8,5,8425,2013,67.06
"GHAGGER AT MOONAK, PUNJAB",PUNJAB,4.6,7.4,1284,24.3,4,50000,2013,50.2
"D/S SARDULGARH, PUNJAB",PUNJAB,4,7.4,1096,26,3,57500,2013,44.58
"U/S SARDULGARH, PUNJAB",PUNJAB,4.4,7.3,1002,21.5,4,43750,2013,50.2
"GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,DEBWALI ROAD,HARYANA",HARYANA,,6.9,910,13,0,,2013,30.04
"GHAGGAR GHNAN2 AT CHANDARPUR SYPHON,  HARYANA",HARYANA,,6.5,930,15,0,,2013,23.44
RIVER GHAGGAR AT D/S OF SURAJPUR,HARYANA,5,7.3,,33.9,0,,2013,50.2
GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL WATER) (HARYANA),HARYANA,,6.7,960,18,0,,2013,26.74
"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629, RAJASTHAN",RAJASTHAN,4.8,7.6,295,0.8,0,9,2013,82.4
"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",HIMACHAL PRADESH,7.1,7.5,293,1.3,0,19,2013,93.64
MARKANDA U/S KALA AMB,HIMACHAL PRADESH,7.1,7.5,316,1.4,0,22,2013,93.28
MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,HIMACHAL PRADESH,6.6,7.5,274,1.6,0,24,2013,93.64
"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",HIMACHAL PRADESH,4.9,7.4,407,16.3,0,120,2013,67.06
"RIVER JAWAI AT JAWAI DAM, SIROHI, RAJASTHAN",RAJASTHAN,4.9,8.3,603,1,0,5,2013,87.66
"KODRA DAM, MOUNT ABU, RAJASTHAN",RAJASTHAN,5.5,7.4,138,0.8,0,6,2013,88.38
"RIVER BANDI AT HEMAWAS DAM, PALI, RAJASTHAN",RAJASTHAN,5.5,8.1,625,1.1,0,6,2013,87.66
"GAGGAR RIVER D/S HANUMANGARH NEAR 2 KNJ NAI ABADI, MAKKASR, RAJASTHAN",RAJASTHAN,5,7.3,305,1.7,0,12,2013,82.04
"RIVER LUNI AT RANAKPUR DAM, RANAKPUR, PALI, RAJASTHAN",RAJASTHAN,5.6,8.1,552,1.1,0,6,2013,87.66
"RIVER BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH,7.3,7.3,402,2.1,0,32,2013,93.28
"BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS",MEGHALAYA,7.2,7.3,99,2.2,1,57,2013,88.38
"BUGI RIVER AT DALU, SOUTH GARO HILLS",MEGHALAYA,7.2,7.4,102,2.2,1,56,2013,88.38
"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS",MEGHALAYA,7.6,7.2,72,1.8,2.56,57,2013,88.56
"GANOL RIVER TURA, MEGHALAYA",MEGHALAYA,7.1,7.5,131,2.2,3.2,413,2013,88.38
"KYRHUKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.,MEGHALAYA",MEGHALAYA,5.2,2.9,682,7.8,1.5,30,2013,61.8
"KYNSHI RIVER AT SOHIONG, WEST KHASI HILLS",MEGHALAYA,7.3,7.1,47,1.3,2,48,2013,94.18
"KYNSHI RIVER AT NANGKHNUM, WEST KHASI HILLS",MEGHALAYA,7.6,7.2,52,1.2,2,36,2013,94.18
"KYNSHI RIVER AT RANIKOR, WEST KHASI HILLS",MEGHALAYA,8,6.9,64,1.8,3.38,49,2013,90.88
RILANG RIVER,MEGHALAYA,7.9,7.3,46,1.4,1,29,2013,94.18
WAH BLEI,MEGHALAYA,7.4,7.2,53,1.9,3,32,2013,94.18
WAH BLEI,MEGHALAYA,7.7,7.2,55,1.6,3,63,2013,88.56
LUKHA RIVER,MEGHALAYA,6.8,2.7,1074,3.2,2.33,11,2013,72.1
LUKHA RIVER,MEGHALAYA,7.1,6.5,237,3.8,4.56,1072,2013,67.82
"MANDA RIVER (DUDHAI RIVER) AT JAMPA, EAST GARO HILLS",MEGHALAYA,7.8,7.2,50,1.6,1.77,41,2013,94.18
"MANDA RIVER (DUDHAI RIVER) AT WAGAISI, EAST GARO HILLS",MEGHALAYA,7.3,7.3,71,2,2.66,47,2013,94.18
"MYNTANG RIVER AT NARTIANG, JAYANTIA HILLS",MEGHALAYA,7.3,7,91,1.8,3.3,45,2013,94
"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",MEGHALAYA,7.4,7.1,49,1.7,2.44,42,2013,94.18
"MYNTDU RIVER JOWAI, MEGHALAYA",MEGHALAYA,6.5,7.1,99,2.7,3.56,2722,2013,82.76
"MYNTDU RIVER AT LESHKA, JAYANTIA HILLS",MEGHALAYA,7.5,5.7,50,1.5,2.21,23,2013,77.68
"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,5.8,6.9,68,3.1,4.9,463,2013,74.96
"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,6.9,7.2,44,1.4,2.66,33,2013,94.18
"SIMSANG RIVER WILLIAMNAGAR, MEGHALAYA",MEGHALAYA,7.8,7.3,93,1.9,2.99,444,2013,88.38
"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS",MEGHALAYA,6.6,7,66,2.3,4,63,2013,88.56
"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS",MEGHALAYA,7.6,7.1,53,1.7,3,53,2013,88.56
"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",MEGHALAYA,7.8,7,47,1.4,2,35,2013,94.18
"UMIAM MAWPHLANG RIVER AT SHELLA, EAST KHASI HILLS",MEGHALAYA,7.7,7.4,128,1.6,3.32,56,2013,88.38
UMKHEN AT WAHKDAIT,MEGHALAYA,7.1,7,54,1.8,2.58,43,2013,94.18
UMKHEN AT KSEHPONGDENG,MEGHALAYA,7.4,7,69,1.6,3.3,87,2013,88.56
"UMKHEN RIVER AT DIENGPASOH, EAST KHASI HILLS",MEGHALAYA,7.5,7.2,58,1.6,2.25,46,2013,94.18
"UMKHRAH RIVER AT DEMTHRING, SHILLONG",MEGHALAYA,3.1,7.2,401,21.8,19,31444,2013,44.58
"UMKHRAH RIVER ATUMKALIAR, SHILLONG",MEGHALAYA,4.7,7.2,202,13.6,15,20056,2013,50.74
"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",MEGHALAYA,2.1,7.2,303,37.2,18.2,62333,2013,33.34
"UMKHRAH RIVER AT MAWPDANG, MAWLAI",MEGHALAYA,1.8,7.2,394,40.6,15.4,96944,2013,33.34
"UMNGOT RIVER AT SMIT, EAST KHASI HILLS",MEGHALAYA,7.2,6.9,55,1.7,3.04,56,2013,85.26
"UMNGOT RIVER AT DAWKI, EAST KHASI HILLS",MEGHALAYA,7.9,7.1,55,1.2,3.55,50,2013,94.18
"UMSHYRPI RIVER AT RISA COLONY, EAST KHASI HILLS",MEGHALAYA,6.9,6.9,52,2.2,3.48,45,2013,90.88
"UMSHYRPI RIVER AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS",MEGHALAYA,1.9,7,306,34.2,17.9,85667,2013,33.34
"UMSHYRPI RIVER AT UMSHYRPI BRIDGE, EAST KHASI HILLS",MEGHALAYA,4.5,7.1,196,15.5,11,43333,2013,50.74
"UMTREW AT BYRNIHAT EAST, MEGHALAYA",MEGHALAYA,7.2,7.1,107,6.7,5.56,476,2013,79.02
"UMTREW RIVER AT UMRAN, RINAN BHOI",MEGHALAYA,7.5,7,82,2.1,3.02,122,2013,88.38
TLAWNG UPSTREAM AIZAWL,MIZORAM,7.1,7.5,189,1.9,1,,2013,71.34
TLAWNG DOWNSTREAM AIZAWL,MIZORAM,7,7.6,197,1.8,1,,2013,71.34
TUIRIAL UPPER CATCHMENT,MIZORAM,7.2,7.9,158,1.9,0.95,,2013,71.34
TUIRIAL LOWER CATCHMENT,MIZORAM,6.5,7.8,161,1.8,0.99,,2013,71.34
"GUMTI AT U/S SOUTH TRIPURA,TRIPURA",TRIPURA,6.6,7.7,165,1.7,0,325,2013,88.2
"GUMTI AT D/S SOUTH TRIPURA, TRIPURA",TRIPURA,6.7,7.8,167,4.8,1,520,2013,77.9
"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",TRIPURA,6.6,7.7,183,3.7,1.55,575,2013,77.9
DAMANGANGA AT D/S OF MADHUBAN,DAMAN & DIU,7.1,7.8,151,8,0.08,,2012,61.98
DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT,7.2,7.4,319,0.7,0.18,10,2012,93.28
RIVER DHADAR AT KOTHADA,GUJARAT,6.2,8.4,894,9,0.38,350,2012,78.3
AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESHWAR,GUJARAT,2.2,8,1835,17.9,0.86,25478,2012,33.34
AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,GUJARAT,2,7.7,3165,32.3,3.44,15173,2012,33.34
KOLAK AT PATALIA BDG,GUJARAT,2.4,7.6,1500,6.2,1.31,13,2012,55.82
ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS,GOA,5.9,7.2,52,2.1,0.08,90,2012,82.94
ZUARI AT PANCHAWADI,GOA,6.1,6.8,408,1.3,0.17,3808,2012,78.74
RIVER ZUARI AT BORIM BRIDGE,GOA,5.5,6.9,143,1.3,0.09,11113,2012,62.6
RIVER ZUARI AT MARCAIM JETTY,GOA,5.4,7.2,60,1.5,0.08,2309,2012,77.32
MANDOVI AT NEGHBOURHOOD OF PANAJI,GOA,5.8,7.2,34,5.3,0.17,3322,2012,72.64
"MANDOVI AT TONCA, MARCELA",GOA,5.9,6.7,125,1.5,0.14,5793,2012,70.54
MANDOVI AT AMONA BRIDGE,GOA,6.4,6.7,175,1.3,0.1,3636,2012,75.98
RIVER MANDOVI AT IFFI JETTY,GOA,6.2,7.7,39,1.3,0.06,4517,2012,82.94
MANDOVI NEAR HOTEL MARRIOT,GOA,6.1,7.8,39,1.5,0.06,5840,2012,82.94
KALNA AT CHANDELNAN PERNEM,GOA,7.3,6.9,61,0.7,0.09,4388,2012,79.64
RIVER ASSONORA AT ASSONORA,GOA,6.8,6.6,71,1.5,0.14,3949,2012,73.04
"BICHOLIM VARAZAN NAGAR, BICHOLIM",GOA,7.4,6.5,129,2.3,0.49,16691,2012,61.62
"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,7,6.8,503,1.6,0.66,2404,2012,78.74
RIVER CHAPORA AT SIOLIM,GOA,6.3,7.5,31,1.6,0.06,4267,2012,82.94
KHANDEPAR AT OPA NAN PONDA,GOA,7.1,6.8,70,0.8,0.17,3567,2012,79.64
"KHANDEPAR AT CODLI NR BDG, U/S OPA WATERWORKS,SANGUEM",GOA,7.3,6.8,69,1.2,0.12,2446,2012,79.64
"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,6.7,6.6,118,1,0.22,3496,2012,72.86
RIVER MADAI AT DABOS NAN  VALPOI,GOA,7.4,6.8,80,1.3,0.06,1404,2012,79.46
RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,4.5,6.6,250,2.4,0.16,5889,2012,61.26
"SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,6.1,6.9,74,1.8,0.19,3937,2012,79.64
"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,5.9,7.3,44,1.6,0.14,2794,2012,77.32
"SAL AT KHAREBAND, MARGAO",GOA,2.4,6.5,195,4.8,0.35,14217,2012,28.66
"SAL AT ORLIM BRIDGE, ORLIM",GOA,4,6.8,207,1.8,0.34,2280,2012,62.42
RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,5.4,7.6,40,1.6,0.07,1330,2012,77.32
RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,5.3,7.6,41,1.4,0.08,2517,2012,77.32
RIVER TALPONA AT CANACONA,GOA,7,6.9,54,0.8,0.21,3059,2012,79.64
RIVER TIRACOL AT TIRACOL,GOA,5.9,7.7,44,2.1,0.08,831,2012,77.32
VALVANT AT SANKLI NAN BICHOLIM,GOA,7.1,6.5,60,1.7,0.13,8163,2012,73.04
"AMBA AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,6.9,7.7,99,3.3,0.56,123,2012,83.7
BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS),MAHARASHTRA,6.6,7.9,123,3.2,0.52,104,2012,83.7
"BHATSA AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR,THANE",MAHARASHTRA,6.6,7.7,220,3.6,0.65,77,2012,83.52
"BHATSA AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,6.8,7.7,219,3.4,0.63,75,2012,83.52
KALU AT ATALE VILLAGE,MAHARASHTRA,4.8,7.2,5429,8.4,2.08,408,2012,67.06
"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,6.4,8,493,4.2,3.91,68,2012,82.98
KUNDALIKA AT ROHA CITY,MAHARASHTRA,6.8,7.6,100,3,0.54,295,2012,88.38
KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,6.7,7.5,316,4.6,0.6,132,2012,82.98
"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,5.8,7.9,37227,9.5,1.42,451,2012,72.68
"KUNDALIKA AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",MAHARASHTRA,6.9,7.7,84,3.1,0.42,168,2012,83.7
MITHI RIVER,MAHARASHTRA,4.9,7.6,21254,55.5,2.18,964,2012,61.44
"MUCHKUNDI RIVER AT  WAKED, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNAGIRI.",MAHARASHTRA,6.9,7.9,312,2.7,1.58,107,2012,87.66
PATALGANGA AT SHILPHATA,MAHARASHTRA,6.8,7.5,146,3,0.6,241,2012,88.38
PATALGANGA NEAR INTAKE OF MIDC W/W,MAHARASHTRA,6.7,7.3,127,2.9,0.59,209,2012,88.38
"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA,5.6,6.9,432,4.5,1.72,173,2012,74.06
"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",MAHARASHTRA,6.5,7.3,126,3,0.59,284,2012,88.38
"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA,7.1,7.5,128,3,0.6,297,2012,88.38
"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",MAHARASHTRA,6.4,7.3,129,3.1,0.6,191,2012,83.7
"PATALGANGA AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA,6.9,7.7,129,2.9,0.55,268,2012,88.38
"PEHLAR DAM ON PEHLAR INLET OF WATER WORKS, VASAI, THANE.",MAHARASHTRA,7,7.9,153,2.9,0.55,86,2012,88.2
SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,6.4,7.6,10165,3.7,2.14,139,2012,82.98
"SAVITRI JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,6.9,7.7,307,2.8,3.6,123,2012,87.66
"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",MAHARASHTRA,6.3,7.7,322,3.5,1.1,116,2012,82.98
"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA,6.5,7.5,5835,3.4,1.72,126,2012,82.98
"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,6.3,7.4,9245,4.7,2,134,2012,82.98
"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,6.5,8.1,1907,4,0.55,115,2012,82.98
"SURYA AT MIDC PUMPING STN, GARVASHET, PALGHAR, THANE",MAHARASHTRA,7,8,1896,3.5,0.64,245,2012,82.98
"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,7,8,206,2.9,0.56,74,2012,88.2
"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,6.8,7.8,239,3.3,0.56,77,2012,83.34
ULHAS AT U/S OF NRC BUND AT MOHANE,MAHARASHTRA,6.4,7.6,152,3.2,0.96,142,2012,83.52
ULHAS AT U/S OF BADLAPUR,MAHARASHTRA,6.7,7.7,146,3,0.89,73,2012,88.38
ULHAS ATJAMBHUL WATER WORKS,MAHARASHTRA,6.7,7.6,137,2.9,0.76,64,2012,88.38
"VAITARNA NR RD BDG, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA,6.6,7.8,228,3.5,0.57,79,2012,83.34
VASHISTI AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,7,7.7,409,2.4,0.93,112,2012,87.66
"VASHISHTI  AT D/S OF THREE M PAPER MILLS NR CHIPLUN WATER INTAKE JACKWELL,KHERDI,RATNAGIRI",MAHARASHTRA,6.8,7.6,263,2.9,0.81,123,2012,88.02
"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",MAHARASHTRA,6.9,7.5,338,2.3,3.93,108,2012,87.66
ACHENKOIL AT THUMPAMON,KERALA,7,7.2,79,0.8,0.62,637,2012,82.76
ACHENKOIL AT CHENNITHULA,KERALA,6.6,7,67,1.1,0.53,670,2012,82.94
"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,6.6,7.3,59,0.7,0.57,541,2012,82.94
"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE),PATHANAMTHITTA",KERALA,6.2,7.3,66,0.8,0.55,609,2012,82.94
ANCHARAKANDY AT MERUVAMBA,KERALA,7.1,7,67,1,0.34,538,2012,82.94
ANCHARAKANDY AT MERUVAMBA,KERALA,7,6.7,5341,1.1,0.37,528,2012,75.44
R AYROOR AT AYROOR BRIDGE,KERALA,6.7,7.3,89,1.1,0.35,2025,2012,82.76
BHARATHAPUZHA AT KUTTIPPURAM,KERALA,6.2,7.3,136,1,0.46,676,2012,82.76
R BHARATHAPUZHA AT PATTAMBI,KERALA,7.1,8.1,212,0.9,0.56,992,2012,82.58
CHALAKUDY AT PULICKALKANANDAVU,KERALA,6.3,6.3,134,1.2,0.67,780,2012,66.26
CHALIYAR AT KOOLIMADU,KERALA,7.3,7.2,76,0.6,0.31,893,2012,82.76
CHALIYAR AT CHUNGAPALLY,KERALA,7,7.3,11041,0.9,0.29,503,2012,82.04
"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,6.8,7.1,75,0.8,0.5,1169,2012,82.94
CHANDRAGIRI AT PADIYATHADKA,KERALA,7.4,7.2,61,0.7,0.11,255,2012,88.56
CHITRAPUZHA AT IRUMPANAM,KERALA,1.7,6.6,769,3.4,1.11,1717,2012,39.36
R CORAPUZHA AT KANAYANKODE,KERALA,6.1,7.5,14083,1.4,0.25,2686,2012,82.04
"R ITHIKKARA AT AYUR, KERALA",KERALA,6.6,7.2,92,0.8,0.77,660,2012,82.76
R ITHIKKARA AT ITHIKKARA,KERALA,6.6,7.2,1348,0.8,1.01,810,2012,82.04
R KADALUNDI AT THIRURANGADY,KERALA,6,6.7,95,1.2,0.29,680,2012,76.16
R KADALUNDI AT HAJIRAPPALLY,KERALA,6.6,6.8,78,1,0.2,626,2012,79.46
KADAMBAYAR AT BRAHMAPURAM,KERALA,0.6,6.7,268,4.1,1.28,1308,2012,43.02
KADAMBAYAR AT MANCKAKADAVU,KERALA,1.8,6.6,82,2,0.39,1410,2012,44.76
"KALLADA AT PERUMTHOTTAM KADAVU, PUNALOOR",KERALA,7.1,7.2,61,1,0.34,608,2012,82.94
R KALLAI AT KALLAI BRIDGE,KERALA,3.9,7.6,30298,2.5,0.59,7240,2012,65.18
"KALPATHI PUZHA AT KALPATHI, PALAKKAD",KERALA,6.6,8,310,1.1,0.54,783,2012,82.04
KARAPUZHA DAM AT WAYANAD,KERALA,7,7.1,97,0.8,0.35,77,2012,88.38
R KARINGODE AT KAKKADAVU,KERALA,7.3,7,51,0.7,0.18,258,2012,88.56
KARAMANA AT MOONNATTUMUKKU,KERALA,0.5,7.1,1717,21.2,4.41,15833,2012,33.34
"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM",KERALA,7,7.4,55,0.9,0.32,1400,2012,82.94
R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,6.1,6.8,67,1.1,0.58,394,2012,85.26
R KAVVAI AT KUTTIYOL PALAM,KERALA,7,6.7,61,1.3,0.28,248,2012,81.96
KEECHERI AT VADAKKANCHERY BDG,KERALA,5.2,6.9,81,1.5,0.37,465,2012,79.46
R KORAYAR AT KANJIKODE,KERALA,6.1,8,510,1.1,0.72,1572,2012,82.04
R KUPPAM AT THALIPARAMBA,KERALA,6.5,6.9,12150,1.8,0.52,1481,2012,78.74
R KUPPAM AT RAYAROM,KERALA,7.9,7.2,50,1.1,0.3,845,2012,82.94
R KUTTIYADE AT KUTTIYADY ESTATE,KERALA,7.5,6.9,34,0.9,0.14,256,2012,85.26
"R MAHE AT VALAYAM, KERALA",KERALA,7,7.4,72,1,0.38,897,2012,82.94
R MAMOM AT MAMOM BRIDGE,KERALA,7.3,7.3,99,0.9,0.23,1788,2012,82.76
MANIMALA  AT KALLOOPARA,KERALA,7.5,6.9,125,1.6,0.45,1400,2012,79.46
MANIMALA AT THONDRA,KERALA,6.8,6.9,116,1.7,0.4,1260,2012,79.46
"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",KERALA,5.8,7.3,107,0.9,0.88,343,2012,82.76
R MANJESWAR AT BAJRAKKARA BR.,KERALA,7.1,7.2,85,0.8,0.31,184,2012,88.38
MEENACHIL AT KIDANGOOR,KERALA,6.8,7.1,58,0.7,0.46,3460,2012,82.94
R MOGRAL AT MOGRAL BR.,KERALA,5.7,7.3,13197,1.5,0.35,144,2012,82.04
MUVATTAPUZHA AT VETTIKKATTUMUKKU,KERALA,6.7,7.1,58,1.2,0.39,1739,2012,82.94
NEELASWARAM AT NAMBIARKAL ,KERALA,7,6.9,3453,0.9,0.17,278,2012,84.36
R NEELESWARAM AT HOSDURG,KERALA,6.5,7,14369,1.3,0.27,175,2012,87.66
R NEYYAR AT AMARAVILA,KERALA,6.6,7.3,70,1.4,0.39,1875,2012,82.94
R NEYYAR AT ARUVIPURAM,KERALA,7,7.3,60,0.8,0.18,1813,2012,82.94
R PALLICKAL AT NELLIMUKAL,KERALA,6.3,7.2,97,0.8,0.56,880,2012,82.76
PAMBA AT CHENGANNUR,KERALA,6,7,63,1.1,1.04,493,2012,88.56
PAMBA AT THAKAZHY,KERALA,4.4,7.1,113,1.5,1.17,722,2012,71.52
PAMBA DOWN,KERALA,4.5,7.2,79,1,1.04,537,2012,71.52
PERIYAR NEAR ALWAYENANELOOR,KERALA,5.1,6.9,1789,2.1,0.68,1946,2012,73.12
PERIYAR AT KALADY,KERALA,7.5,7.2,36,1.1,0.27,1134,2012,82.94
PERIYAR AT SEWAGE DISCHARGE POINT,KERALA,6.8,7,59,1.3,0.32,2267,2012,82.94
PERIYAR AT MUPPATHADAM,KERALA,6.8,6.9,114,1.4,0.23,1785,2012,79.46
RIVER PERIYAR AT PATHALAM,KERALA,5.9,6.8,1108,2.2,0.62,1520,2012,73.12
R PERIYAR AT KALAMASSERY,KERALA,4.9,6.7,88,2.2,0.28,2200,2012,64.92
R PERIYAR AT PURAPPALLIKAVU,KERALA,6.8,6.9,1686,1.4,0.25,1223,2012,78.74
"PERIYAR AT KWA INTAKENAN ALUVA, ERNAKULAM",KERALA,7.1,6.9,45,1.2,0.29,1636,2012,79.64
PERUVAMBA AT CHANDAPPURA,KERALA,6.9,6.6,56,1.1,0.3,542,2012,73.04
R PULLUR AT PULLUR BR.,KERALA,6.5,6.3,49,1,0.22,323,2012,72.06
R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,4.9,6.6,169,2.1,0.76,1241,2012,61.44
R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,4.2,6.5,19575,1.4,0.39,528,2012,60.9
R SHRIYA AT ANGADIMOGARU,KERALA,6.9,7.1,63,0.9,0.16,336,2012,88.56
THALLASSERY AT PATHIPPALAM,KERALA,6.6,6.7,69,0.8,0.38,464,2012,81.96
THIRUR AT THALAKKADATHUR BDG,KERALA,4.5,6.6,6381,2.1,0.34,435,2012,66.52
R UPPALA AT  UPPALA BR.,KERALA,6.2,7.2,9326,1.3,0.22,141,2012,87.66
"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,6.6,7.1,15158,1.1,0.26,810,2012,82.04
VAMANAPURAM,KERALA,6.3,7.3,74,1.2,0.29,1813,2012,82.94
NAGAVALLI AT THOTAPALLI REGULATOR,ANDHRA PRADESH,6,7.6,429,1.1,1.1,362,2012,87.66
"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,6,7.8,308,1.1,1.47,343,2012,87.66
"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",ANDHRA PRADESH,5.8,7.4,505,0.6,0.73,1517,2012,76.42
"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",ANDHRA PRADESH,6.1,7.5,465,0.5,0.34,1458,2012,82.04
KALI AT D/S WEST COAST PAPER MILL,KARNATAKA,6.4,7.1,183,2.3,0.62,398,2012,88.2
"KALI AT U/S OF WCPM, DANDELI",KARNATAKA,7.1,7.4,135,1.9,0.72,995,2012,82.76
KUMARADHARA NAN U/S OF UPPINAGADY TOWN B/C WITH RIVER NETHRAVATHI,KARNATAKA,6.7,7.2,103,1,,70,2012,85.58
